# Observed license-file MD5s from real-world Go modules.
# Used by oe-go-mod-fetcher.py as a fallback when a module's LICENSE file
# does not match any canonical text in OE-core's common-licenses/ (even
# after _crunch_license_text normalization).
#
# Format: md5,spdx,example_module,note
#
# Add new entries when you encounter spdx=Unknown in a generated
# go-mod-licenses.inc and have verified the upstream license. Keep entries
# sorted by md5 for deterministic diffs.
4f3d0cac23eaa070c40e054fad4e78a8,MIT,github.com/smartystreets/goconvey@v1.6.4,
545d3f23616dee7495323aeb0b098df3,Apache-2.0,sigs.k8s.io/json@v0.0.0-20250730193827-2d320260d730,
58103aa5ea1ee9b7a369c9c4a95ef9b5,BSD-2-Clause,github.com/go-redis/redis@v6.15.9+incompatible,
591778525c869cdde0ab5a1bf283cd81,MIT,github.com/fortytw2/leaktest@v1.3.0,
598d6673548efc92a7d6dfb739add1ed,BSD-2-Clause,gopkg.in/check.v1@v0.0.0-20161208181325-20d25e280405,
5ab805cea35f8960c320947cb99b2db3,MIT,bitbucket.org/creachadair/shell@v0.0.8,
5d1b329cf2d09f301b0d604f96046e5a,BSD-3-Clause,mvdan.cc/gofumpt@v0.9.2,
5d4950ecb7b26d2c5e4e7b4e0dd74707,BSD-3-Clause,filippo.io/edwards25519@v1.1.1,
63cf70d490f050a29efd853b9bd0620b,MIT,github.com/xhit/go-str2duration/v2@v2.1.0,
652ef7590e03427663a9b9d1318a9fbb,MIT,github.com/Masterminds/sprig@v2.22.0+incompatible,
6551d79bf661eed41a50157513ee4ad6,BSD-3-Clause,gopkg.in/cheggaaa/pb.v1@v1.0.28,
65d26fcc2f35ea6a181ac777e42db1ea,MPL-2.0,github.com/hashicorp/go-cleanhttp@v0.5.2,
68f2948d3c4943313d07e084a362486c,BSD-3-Clause,github.com/fsnotify/fsnotify@v1.4.9,
6b5e7d09b7115ad66340422e87ca9791,BSD-2-Clause,github.com/go-redis/redismock/v9@v9.2.0,
6b6b03a3c410317c558abe499de9b5a7,BSD-2-Clause,github.com/syndtr/goleveldb@v1.0.1-0.20220721030215-126854af5e6d,
6fe682a02df52c6653f33bd0f7126b5a,BSD-2-Clause,github.com/pkg/errors@v0.8.1,
714beb7325ffa89d5a68d936a3bb04e5,BSD-2-Clause,github.com/magiconair/properties@v1.8.10,
72f4d4b4409879b8efe61eafbe86be3d,Apache-2.0,github.com/DataDog/dd-trace-go/v2@v2.3.0,
7316a33df6826d7cc2854e686cb9279f,MIT,github.com/peterh/liner@v1.2.2,
73a5bbb637837b33f935dd50e5d05143,Apache-2.0,github.com/apache/beam/sdks/v2@v2.63.0,
73a9fd187cdcda4e3009f73e69b5b348,Apache-2.0,github.com/cavaliercoder/go-rpm@v0.0.0-20200122174316-8cb9fd9c31a8,
746b23f793d7aaacdeb34a1c4e7d103b,BSD-3-Clause,github.com/miekg/pkcs11@v1.0.3-0.20190429190417-a667d056470f,
781f3c14fa867bae781c9e409831f954,BSD-3-Clause,github.com/mxk/go-flowrate@v0.0.0-20140419014527-cca7078d478f,
7998cb338f82d15c0eff93b7004d272a,BSD-3-Clause,golang.org/x/crypto@v0.49.0,
79a0324a945372989ac53fa7813090a6,Apache-2.0,github.com/sigstore/protobuf-specs@v0.5.0,
7b177d84fb5f8a6c63942882b1df40f0,BSD-2-Clause,github.com/graph-gophers/graphql-go@v1.9.0,
7f23e46c93f32afcb729ca6c74f2ecfd,Apache-2.0,github.com/in-toto/in-toto-golang@v0.10.0,
81729dc66d48cba483290ca39318923d,BSD-3-Clause,github.com/ianlancetaylor/demangle@v0.0.0-20200824232613-28f6c0f3b639,
818c0a1d81cfcfdb7ecd58db268bab7e,ISC,github.com/davecgh/go-spew@v1.1.0,
81eb103d8076ec72ebe52e3ee40176db,MPL-2.0,github.com/hashicorp/go-version@v1.7.0,
823c3de10826cd7269e64337217d3fd3,Apache-2.0,github.com/PaesslerAG/gval@v1.0.0,
84f589d883da07bef20c745c96b1019c,Apache-2.0,github.com/cyberphone/json-canonicalization@v0.0.0-20241213102144-19d51d7fe467,
88073b6dd8ec00fe09da59e0b6dfded1,BSD-3-Clause,github.com/google/uuid@v1.0.0,
8bae8b116e2cfd723492b02d9a212fe2,BSD-3-Clause,github.com/fsnotify/fsnotify@v1.9.0,
8c6127b79304a5e0a5756d03c7a58766,MIT,github.com/dustin/go-humanize@v1.0.1,
920d76114a32b0fb75b3f2718c5a91be,Apache-2.0,github.com/spf13/afero@v1.15.0,
